contador,fecha,hora,humedad,temperatura,acelX,acelY,acelZ,gyroX,gyroY,gyroZ,pitch,roll,maltrato
1,1/1/2000,0:0:0,64.00,29.70,657,167,3780,13,3,-9,0.25,-0.99,0
2,1/1/2000,0:0:0,64.00,29.70,628,135,3771,-18,13,0,0.47,-1.87,0
3,1/1/2000,0:0:0,64.00,29.70,635,133,3745,29,-10,-11,0.68,-2.67,0
4,1/1/2000,0:0:0,64.00,29.70,635,134,3759,-14,11,1,0.86,-3.39,0
5,1/1/2000,0:0:0,64.00,29.70,625,120,3765,-15,1,-1,1.02,-4.03,0
6,1/1/2000,0:0:0,64.00,29.70,628,151,3754,13,-8,-10,1.17,-4.62,0
7,1/1/2000,0:0:0,64.00,29.70,633,128,3782,-8,5,-1,1.30,-5.14,0
8,1/1/2000,0:0:0,64.00,29.70,638,131,3772,-1,19,5,1.42,-5.61,0
9,1/1/2000,0:0:0,64.00,29.70,633,144,3786,3,-5,0,1.53,-6.03,0
10,1/1/2000,0:0:0,64.00,29.70,640,135,3763,-3,0,6,1.62,-6.42,0
11,1/1/2000,0:0:0,64.00,29.70,639,133,3763,12,-6,-8,1.71,-6.76,0
12,1/1/2000,0:0:0,64.00,29.70,641,133,3758,21,3,-8,1.79,-7.07,0
13,1/1/2000,0:0:0,64.00,29.70,640,133,3771,2,3,14,1.86,-7.35,0
14,1/1/2000,0:0:0,64.00,29.70,629,123,3757,16,-16,2,1.92,-7.60,0
15,1/1/2000,0:0:0,64.00,29.70,642,146,3774,3,9,2,1.98,-7.82,0
16,1/1/2000,0:0:0,64.00,29.70,611,149,3769,-12,5,-7,2.03,-8.02,0
17,1/1/2000,0:0:0,64.00,29.70,640,122,3744,9,-22,-4,2.08,-8.21,0
18,1/1/2000,0:0:0,64.00,29.70,629,144,3793,2,-14,-7,2.12,-8.37,0
19,1/1/2000,0:0:0,64.00,29.70,611,154,3764,3,-8,5,2.16,-8.52,0
20,1/1/2000,0:0:0,64.00,29.70,660,144,3761,-13,18,-16,2.19,-8.65,0
21,1/1/2000,0:0:0,64.00,29.70,645,155,3784,16,-1,-6,2.22,-8.77,0
22,1/1/2000,0:0:0,64.00,29.70,664,151,3798,9,7,13,2.25,-8.88,0
23,1/1/2000,0:0:0,64.00,29.70,641,149,3801,12,-4,5,2.27,-8.98,0
24,1/1/2000,0:0:0,64.00,29.70,632,144,3760,-13,-7,17,2.29,-9.06,0
25,1/1/2000,0:0:0,64.00,29.70,623,140,3762,13,-17,13,2.31,-9.14,0
26,1/1/2000,0:0:0,64.00,29.70,630,136,3758,-11,-2,0,2.33,-9.21,0
27,1/1/2000,0:0:0,64.00,29.70,639,135,3767,-19,-12,6,2.35,-9.28,0
28,1/1/2000,0:0:0,64.00,29.70,630,143,3778,4,-8,-7,2.36,-9.33,0
29,1/1/2000,0:0:0,64.00,29.70,635,164,3762,-4,-2,-13,2.37,-9.39,0
30,1/1/2000,0:0:0,56.00,29.60,636,132,3738,4,19,1,2.39,-9.43,0
31,1/1/2000,0:0:0,56.00,29.60,626,137,3742,7,-10,9,2.40,-9.47,0
32,1/1/2000,0:0:0,56.00,29.60,627,138,3750,0,6,3,2.41,-9.51,0
33,1/1/2000,0:0:0,56.00,29.60,647,139,3774,6,7,6,2.41,-9.55,0
34,1/1/2000,0:0:0,56.00,29.60,623,134,3783,-14,-9,-11,2.42,-9.58,0
35,1/1/2000,0:0:0,56.00,29.60,641,146,3755,-8,17,0,2.43,-9.60,0
